City,Country,Home Office Room Rent (EUR),Accommodation Availability (Score),Income Tax, incl. Social Contributions (),Internet Speed & Capacity (Score),Remote Working Infrastructure (Score),Safety, Freedom & Rights (Score),Gender Equality (Score),LGBT+ Equality (Score),Minority Equality (Score),Covid-19 Vaccination Rate (),Cost of Living (Score),Healthcare (Score),Culture & Leisure (Score),Weather (Score),Pollution - Air, Light, Noise (Score),TOTAL
Melbourne,Australia,681.00,72.16,27.32,79.40,91.80,98.10,99.78,96.27,97.78,11.51,81.84,97.74,93.75,83.49,93.79,100
Dubai,UAE,890.00,65.69,0.00,76.70,69.10,90.80,50.00,50.00,74.04,45.09,79.40,76.40,70.92,64.58,82.61,96.64
Sydney,Australia,767.00,75.90,27.32,82.00,91.80,98.10,99.78,96.16,97.78,11.51,73.31,98.16,79.65,85.29,96.17,92.62
Tallinn,Estonia,394.00,81.25,20.00,85.00,70.00,96.50,99.39,94.41,96.78,31.28,92.61,85.00,54.32,74.84,99.21,88.11
London,UK,1281.00,75.24,29.86,79.50,98.40,97.40,99.35,99.14,97.78,52.79,65.91,95.81,100.00,81.97,89.42,87.18
Tokyo,Japan,914.00,50.00,30.74,79.60,89.10,96.90,91.61,88.57,97.78,9.90,81.88,97.87,94.89,80.54,84.68,86.81
Singapore,Singapore,1475.00,86.30,16.63,85.90,95.60,95.80,94.67,81.99,92.98,37.54,73.07,96.09,72.55,65.68,89.31,85.5
Glasgow,UK,564.00,90.12,32.30,77.40,98.40,97.40,99.35,97.63,97.78,52.79,88.65,97.16,80.48,74.84,97.78,84.74
Montreal,Canada,526.00,81.51,31.61,77.10,92.10,98.80,98.98,98.32,98.12,39.04,87.75,96.70,80.76,74.28,95.84,84.07
Berlin,Germany,757.00,73.18,39.98,86.60,90.40,98.40,97.79,99.64,95.64,37.02,84.05,93.00,84.39,82.15,90.49,82.88
Prague,Czechia,338.00,94.42,30.30,80.00,62.00,94.80,96.40,92.56,95.64,31.42,89.71,87.24,66.00,82.02,92.38,82.61
Toronto,Canada,769.00,81.10,26.99,83.90,92.10,98.80,98.98,97.15,98.12,39.04,77.97,98.26,74.53,77.61,95.46,82.41
Chicago,USA,704.00,75.56,27.50,80.80,81.30,96.40,98.59,95.95,95.57,50.04,76.06,90.76,81.82,78.29,91.81,82.32
Hong Kong,Hong Kong,1395.00,71.40,14.68,91.40,69.70,96.40,95.18,87.25,96.78,19.78,68.44,80.86,69.41,77.20,81.24,81.26
Lisbon,Portugal,602.00,84.46,43.81,81.40,74.20,96.50,98.81,97.42,97.78,33.68,87.35,90.86,79.58,83.98,88.83,81.16
Cape Town,South Africa,430.00,70.50,17.75,69.90,64.80,89.50,96.40,93.90,95.08,0.95,90.80,65.26,78.19,91.45,88.19,80.93
Edinburgh,UK,686.00,92.43,32.30,79.60,98.40,97.40,99.35,97.51,97.78,52.79,83.76,96.81,73.11,78.04,99.13,80.72
Vienna,Austria,675.00,69.41,24.88,79.70,90.30,98.30,98.65,97.83,95.64,35.32,85.46,91.96,64.57,82.12,94.24,80.11
Los Angeles,USA,1389.00,68.71,29.66,84.90,93.20,96.40,98.67,97.61,95.57,52.82,69.12,90.22,82.10,91.19,89.78,79.88
New York,USA,1512.00,71.32,28.32,88.10,96.60,96.40,98.96,97.06,95.57,54.15,58.29,90.20,85.50,78.92,94.59,79.4
Madrid,Spain,661.00,88.58,38.38,88.60,72.40,94.50,98.82,99.19,97.78,36.67,86.53,96.00,83.69,82.41,94.01,79.17
Miami,USA,1149.00,69.53,22.66,82.70,78.40,96.40,98.35,94.71,95.57,46.95,73.95,90.24,69.32,78.48,95.36,78.59
Reykjavik,Iceland,758.00,83.80,38.99,100.00,84.20,98.60,100.00,97.33,97.78,50.35,77.30,97.08,56.00,72.05,98.36,78.39
Seattle,USA,1129.00,64.81,22.66,81.60,85.00,96.40,98.73,96.79,95.57,54.89,70.12,92.06,66.23,83.23,98.69,78.05
San Francisco,USA,1736.00,70.98,29.66,84.80,99.90,96.40,98.67,98.27,95.57,52.82,50.00,90.77,87.93,89.18,96.30,78.02
Tampa,USA,835.00,67.64,22.66,86.40,82.20,96.40,98.35,93.57,95.57,46.95,82.47,91.18,58.88,76.83,94.46,77.38
Austin,USA,764.00,68.40,22.66,88.70,88.80,96.40,98.17,92.47,95.57,42.12,78.89,91.11,59.84,73.80,94.97,77.12
Saint Petersburg,Russia,139.00,67.87,13.65,72.00,75.10,63.00,92.25,68.16,75.78,11.26,95.12,76.22,62.86,72.67,90.59,77.06
Barcelona,Spain,629.00,87.67,39.18,87.30,72.40,94.50,98.82,99.22,97.78,36.67,86.60,95.83,79.64,87.07,90.77,77
Houston,USA,653.00,69.61,22.66,84.50,79.10,96.40,98.17,91.78,95.57,42.12,83.30,91.19,59.07,75.15,92.05,76.93
Athens,Greece,489.00,76.99,37.71,71.00,73.20,89.40,94.60,91.18,94.30,34.09,94.27,83.24,65.29,80.89,80.09,76.93
Dublin,Ireland,1099.00,81.03,28.22,76.00,92.70,97.90,97.17,98.01,99.07,19.48,71.09,87.40,74.99,78.60,96.56,76.91
Buenos Aires,Argentina,436.00,69.87,33.60,68.70,80.10,86.10,93.33,96.84,97.78,18.13,97.74,74.98,81.86,80.74,91.34,76.88
Chiang Mai,Thailand,315.00,55.67,22.20,79.10,54.90,77.90,93.36,93.33,89.06,4.43,96.99,81.97,56.93,85.41,79.27,76.39
Indianapolis,USA,515.00,69.00,22.86,82.10,77.50,96.40,98.79,93.49,95.57,40.59,88.30,91.35,53.46,80.03,92.59,76.11
Paris,France,1296.00,64.98,37.96,84.10,79.60,96.30,98.77,96.97,95.64,33.12,76.74,92.63,86.95,84.11,88.71,75.98
Auckland,New Zealand,796.00,73.40,27.04,81.70,88.90,99.90,99.90,96.84,97.78,8.04,80.23,94.46,55.84,84.71,98.39,75.94
Pittsburgh,USA,598.00,74.30,25.73,86.80,90.50,96.40,98.27,92.28,95.57,53.94,83.99,92.03,53.26,83.37,94.10,75.52
Vancouver,Canada,848.00,66.12,24.73,79.00,92.10,98.80,98.98,96.97,98.12,39.04,77.54,98.21,55.97,79.64,98.19,75.44
Munich,Germany,1058.00,72.89,41.32,80.80,90.40,98.40,97.79,98.73,95.64,37.02,77.64,94.17,73.70,80.78,94.43,75.04
Nashville,USA,726.00,68.45,22.66,83.40,78.00,96.40,98.51,90.21,95.57,36.96,79.03,89.92,56.99,81.43,94.42,74.93
Bern,Switzerland,820.00,64.89,26.50,91.60,100.00,99.80,96.80,97.24,95.64,33.42,77.82,96.82,55.29,79.36,95.66,74.87
Zagreb,Croatia,296.00,97.84,39.06,76.70,73.60,91.30,96.34,91.52,94.30,26.06,93.56,80.19,58.69,80.71,85.83,74.31
San Jose,Costa Rica,532.00,73.97,21.66,71.50,70.10,94.20,92.50,93.94,96.78,18.71,95.00,80.61,52.07,58.74,89.84,73.73
Boston,USA,1215.00,82.28,27.63,86.40,87.40,96.40,98.95,96.87,95.57,63.31,67.85,92.32,62.49,82.41,96.10,73.68
New Orleans,USA,767.00,73.72,26.24,80.80,84.10,96.40,98.04,92.98,95.57,35.01,82.95,89.52,57.05,75.30,97.30,73.51
Portland,USA,788.00,68.92,30.49,84.70,80.50,96.40,98.63,97.66,95.57,53.22,78.98,91.97,60.58,82.49,96.23,73.09
Denver,USA,911.00,76.62,27.21,80.60,85.30,96.40,98.93,96.54,95.57,52.16,78.00,91.31,55.88,85.86,95.30,73.01
Hamburg,Germany,686.00,75.75,41.32,81.10,90.40,98.40,97.79,98.63,95.64,37.02,83.19,93.72,62.71,80.53,94.72,72.59
Dallas,USA,749.00,63.53,22.66,82.50,81.90,96.40,98.17,91.86,95.57,42.12,79.73,90.34,50.78,74.26,94.49,72.33
Phoenix,USA,744.00,70.28,26.00,78.00,81.00,96.40,98.14,92.82,95.57,42.97,84.03,90.68,52.64,76.11,95.31,72.01
Budapest,Hungary,246.00,85.43,33.50,88.60,59.50,91.40,95.83,91.01,94.30,48.78,94.22,77.38,63.40,81.51,88.26,71.76
Helsinki,Finland,715.00,76.97,36.50,84.90,93.00,99.90,98.32,98.49,100.00,32.26,83.27,92.99,56.22,74.78,98.26,71.54
Rio de Janeiro,Brazil,119.00,72.75,28.43,69.60,65.30,84.90,95.51,93.22,95.57,18.56,97.56,73.13,64.12,85.29,81.71,70.95
Atlanta,USA,930.00,68.39,28.17,81.30,82.70,96.40,98.25,93.10,95.57,37.59,79.54,90.52,55.29,83.81,91.84,70.6
Bali,Indonesia,212.00,80.07,26.18,60.10,53.30,82.30,81.89,81.77,83.92,5.86,97.63,51.80,53.77,96.09,90.31,70.56
Cologne,Germany,575.00,68.66,41.32,81.70,90.40,98.40,97.79,99.89,95.64,37.02,85.25,93.78,55.46,81.17,94.39,70.25
Honolulu,USA,1148.00,67.92,29.89,83.60,88.90,96.40,98.75,94.64,95.57,58.94,71.94,91.80,50.99,82.94,98.99,69.68
Bangkok,Thailand,655.00,66.87,22.20,81.00,54.90,77.90,93.36,91.18,89.06,4.43,91.66,81.05,64.68,50.00,73.54,69.15
Frankfurt,Germany,837.00,69.40,41.32,69.40,90.40,98.40,97.79,98.35,95.64,37.02,81.22,93.68,59.77,81.68,90.67,69.13
Toulouse,France,419.00,77.73,37.96,93.80,79.60,96.30,98.77,96.11,95.64,33.12,90.25,93.36,54.21,83.31,94.99,68.96
Rome,Italy,519.00,94.60,43.35,78.90,76.30,91.90,96.62,90.43,96.78,36.29,84.09,92.38,64.65,81.48,89.51,68.86
Las Palmas,Spain,431.00,74.78,38.38,75.70,72.40,94.50,98.82,98.76,97.78,36.67,91.44,95.11,55.13,100.00,93.59,68.8
Warsaw,Poland,305.00,94.96,32.30,81.10,74.40,93.30,96.20,83.77,97.78,33.36,88.21,78.86,58.05,80.58,84.90,68.48
Amsterdam,Netherlands,866.00,79.21,37.52,87.90,84.10,99.30,99.10,99.24,99.07,34.44,73.73,96.54,61.88,80.57,93.97,68.45
Mexico City,Mexico,456.00,63.64,28.82,74.90,61.40,79.20,97.24,92.45,92.29,16.02,94.49,73.95,80.02,92.68,68.48,68.21
Stockholm,Sweden,786.00,77.03,40.80,85.50,87.20,99.60,99.41,100.00,100.00,30.46,81.38,96.62,60.36,79.43,94.92,67.73
Nantes,France,481.00,68.17,37.96,85.20,79.60,96.30,98.77,96.11,95.64,33.12,90.91,92.09,53.49,83.81,94.68,67.67
Bari,Italy,331.00,100.00,42.32,68.80,76.30,91.90,96.62,93.33,96.78,36.29,93.59,91.16,54.50,83.03,88.54,67.55
Copenhagen,Denmark,1059.00,82.62,43.80,89.10,84.00,99.60,99.26,98.96,99.07,36.50,75.68,92.32,61.59,80.11,92.53,66.2
Istanbul,Turkey,169.00,69.03,33.69,64.20,50.00,76.10,89.37,79.35,79.30,20.62,99.47,76.33,66.74,85.55,81.82,64.03
Brussels,Belgium,696.00,70.45,47.74,77.40,97.00,97.40,98.68,98.43,96.72,37.63,85.76,94.57,59.86,81.57,90.55,63.18
Shanghai,China,757.00,70.31,43.19,66.20,54.30,50.00,92.05,85.91,50.00,32.30,84.46,80.28,72.00,79.19,66.91,59.38
Marrakesh,Morocco,336.00,63.66,35.25,50.00,52.30,80.10,77.84,68.16,79.30,22.61,98.38,62.55,52.85,81.28,73.53,55.85
Medellin,Colombia,226.00,65.63,33.66,50.20,57.20,79.40,95.86,97.60,93.84,12.80,99.01,79.48,50.00,93.17,72.09,50
